NM;TIN;VDNM;LICNUM;LICBEG;LICEND
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ЯЧМІННА""";42131407;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100002;25.03.2021;25.03.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ХОЛІКРАФТ""";43796411;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100003;25.03.2021;25.03.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""МОВА І КО""";41948380;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100004;31.03.2021;31.03.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""БОГДАНІВСЬКА БРОВАРНЯ""";41812373;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100005;05.04.2021;05.04.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ОДД БРЮ""";43221457;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100006;16.04.2021;16.04.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""МАЛИНІВКА-ІФ""";38957683;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100007;12.05.2021;12.05.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПИВОВАРНЯ СОЛОД""";43781321;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100008;13.05.2021;13.05.2026
ФІЗИЧНА ОСОБА - ПІДПРИЄМЕЦЬ ГЛІБЧУК ОЛЕГ-ВАСИЛЬ ВАСИЛЬОВИЧ;***********;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100009;20.05.2021;20.05.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПОКРОВСЬКА КРАФТОВА БРОВАРНЯ""";38507957;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100010;08.06.2021;08.06.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ДІМ КРАФТУ""";43476541;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100011;18.06.2021;18.06.2026
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВIДПОВIДАЛЬНIСТЮ ""ПІНТА ХАУС""";37616843;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100012;18.06.2021;18.06.2026
"ПРИВАТНЕ ПIДПРИЄМСТВО ""ЯКИМПРОДІНВЕСТ""";36448704;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100014;23.06.2021;23.06.2026
"ПРИВАТНЕ ПІДПРИЄМСТВО ""ЛЬВІВСЬКА КРАФТОВА ПИВОВАРНЯ""";42431693;Оптова торгівля алкогольними напоями, виключно пивом для виробників пива з обсягом виробництва до 3000 гектолітрів на рік;990210202100015;24.06.2021;24.06.2026
